Date,Price,Open,High,Low,Volume,Chg%
"Mar 31, 2023",12.935,13.6275,13.6275,12.0725,0,-5.08%
"Mar 29, 2023",13.6275,15.1,15.1,13.32,0,-9.75%
"Mar 28, 2023",15.1,15.445,15.6075,14.865,0,-2.23%
"Mar 27, 2023",15.445,15.24,16.0925,15.0975,0,1.35%
"Mar 24, 2023",15.24,14.49,15.43,14.2025,0,5.18%
"Mar 23, 2023",14.49,14.8075,15.0575,13.9025,0,-2.14%
"Mar 22, 2023",14.8075,15.0825,15.0925,14.2425,0,-1.82%
"Mar 21, 2023",15.0825,16.0075,16.035,14.0825,0,-5.78%
"Mar 20, 2023",16.0075,14.7675,17.22,14.52,0,8.40%
"Mar 17, 2023",14.7675,16.2175,16.2175,14.6,0,-8.94%
"Mar 16, 2023",16.2175,16.295,17.355,13.95,0,-0.48%
"Mar 15, 2023",16.295,16.2175,16.505,14.5175,0,0.48%
"Mar 14, 2023",16.2175,16.215,16.6425,15.0025,0,0.02%
"Mar 13, 2023",16.215,13.4125,16.4275,13.4125,0,20.89%
"Mar 10, 2023",13.4125,12.725,13.8175,12.725,0,5.40%
"Mar 09, 2023",12.725,12.45,12.8425,11.78,0,2.21%
"Mar 08, 2023",12.45,12.2675,12.8475,11.8975,0,1.49%
"Mar 06, 2023",12.2675,12.18,12.4725,11.8375,0,0.72%
"Mar 03, 2023",12.18,12.97,12.97,11.98,0,-6.09%
"Mar 02, 2023",12.97,12.995,13.55,11.1,0,-0.19%
"Mar 01, 2023",12.995,14.02,14.02,12.275,0,-7.31%
"Feb 28, 2023",14.02,13.875,14.5675,13.5,0,1.05%
"Feb 27, 2023",13.875,14.185,15.0975,13.75,0,-2.19%
"Feb 24, 2023",14.185,15.075,15.1425,14.0075,0,-5.90%
"Feb 23, 2023",15.075,15.5875,16.01,14.5175,0,-3.29%
"Feb 22, 2023",15.5875,14.0075,15.915,12.3775,0,11.28%
"Feb 21, 2023",14.0075,13.3825,14.295,13.3825,0,4.67%
"Feb 20, 2023",13.3825,13.085,13.7075,10.9225,0,2.27%
"Feb 17, 2023",13.085,12.89,13.52,10.8025,0,1.51%
"Feb 16, 2023",12.89,12.86,13.1625,10.1725,0,0.23%
"Feb 15, 2023",12.86,13.4525,13.4525,11.28,0,-4.40%
"Feb 14, 2023",13.4525,13.68,13.68,12.4525,0,-1.66%
"Feb 13, 2023",13.68,12.745,14.095,11.83,0,7.34%
"Feb 10, 2023",12.745,13.04,13.2775,12.2075,0,-2.26%
"Feb 09, 2023",13.04,13.595,13.815,12.0625,0,-4.08%
"Feb 08, 2023",13.595,14.125,14.2475,13.535,0,-3.75%
"Feb 07, 2023",14.125,14.6875,14.875,13.665,0,-3.83%
"Feb 06, 2023",14.6875,14.3975,15.205,14.185,0,2.01%
"Feb 03, 2023",14.3975,15.7325,15.7575,14.27,0,-8.49%
"Feb 02, 2023",15.7325,16.78,17.7675,15.5075,0,-6.24%
"Feb 01, 2023",16.78,16.875,18.54,14.8475,0,-0.56%
"Jan 31, 2023",16.875,17.71,18.3675,16.565,0,-4.71%
"Jan 30, 2023",17.71,17.32,19.39,17.29,0,2.25%
"Jan 27, 2023",17.32,14.655,18.0125,14.5825,0,18.18%
"Jan 25, 2023",14.655,13.6575,15.4225,13.5175,0,7.30%
"Jan 24, 2023",13.6575,13.6175,13.81,13.3,0,0.29%
"Jan 23, 2023",13.6175,13.7875,14.26,13.48,0,-1.23%
"Jan 20, 2023",13.7875,13.96,14.185,11.6425,0,-1.24%
"Jan 19, 2023",13.96,14.3725,14.8325,13.8925,0,-2.87%
"Jan 18, 2023",14.3725,14.59,14.75,12.4725,0,-1.49%
"Jan 17, 2023",14.59,15.0225,15.31,13.84,0,-2.88%
"Jan 16, 2023",15.0225,14.46,15.3625,14.46,0,3.89%
"Jan 13, 2023",14.46,15.275,15.6025,14.395,0,-5.34%
"Jan 12, 2023",15.275,15.435,16.0425,14.4175,0,-1.04%
"Jan 11, 2023",15.435,15.51,16.225,15.115,0,-0.48%
"Jan 10, 2023",15.51,14.6525,15.935,14.5625,0,5.85%
"Jan 09, 2023",14.6525,15.025,15.3775,14.53,0,-2.48%
"Jan 06, 2023",15.025,14.9825,15.4375,14.6225,0,0.28%
"Jan 05, 2023",14.9825,15.1975,15.6,14.8125,0,-1.41%
"Jan 04, 2023",15.1975,14.385,15.6825,14.33,0,5.65%
"Jan 03, 2023",14.385,14.685,14.99,14.305,0,-2.04%
"Jan 02, 2023",14.685,14.8675,15.4525,14.5675,0,-1.23%
"Dec 30, 2022",14.8675,14.8125,15.115,14.2825,0,0.37%
"Dec 29, 2022",14.8125,15.395,15.77,14.71,0,-3.78%
"Dec 28, 2022",15.395,15.29,15.6475,15.2725,0,0.69%
"Dec 27, 2022",15.29,15.9325,16.1325,14.925,0,-4.03%
"Dec 26, 2022",15.9325,16.16,17.23,14.3075,0,-1.41%
"Dec 23, 2022",16.16,15.1875,16.48,14.4825,0,6.40%
"Dec 22, 2022",15.1875,15.5625,16.3,14.44,0,-2.41%
"Dec 21, 2022",15.5625,13.78,16.01,12.4625,0,12.94%
"Dec 20, 2022",13.78,13.5525,14.9225,13.04,0,1.68%
"Dec 19, 2022",13.5525,14.07,14.4875,13.5,0,-3.68%
"Dec 16, 2022",14.07,13.7325,14.22,12.4925,0,2.46%
"Dec 15, 2022",13.7325,12.885,13.8825,12.5875,0,6.58%
"Dec 14, 2022",12.885,12.8825,13.0825,11.5275,0,0.02%
"Dec 13, 2022",12.8825,13.3175,13.5775,11.4325,0,-3.27%
"Dec 12, 2022",13.3175,13.4775,14.15,12.5275,0,-1.19%
"Dec 09, 2022",13.4775,13.3975,13.9625,11.9125,0,0.60%
"Dec 08, 2022",13.3975,14.0775,14.89,13.26,0,-4.83%
"Dec 07, 2022",14.0775,14.0425,14.4625,13.795,0,0.25%
"Dec 06, 2022",14.0425,13.7325,14.2525,12.18,0,2.26%
"Dec 05, 2022",13.7325,13.45,14.4175,13.45,0,2.10%
"Dec 02, 2022",13.45,13.36,14.0925,12.96,0,0.67%
"Dec 01, 2022",13.36,13.8075,14.23,12.985,0,-3.24%
"Nov 30, 2022",13.8075,13.615,14.05,12.7525,0,1.41%
"Nov 29, 2022",13.615,13.565,14.62,12.4075,0,0.37%
"Nov 28, 2022",13.565,13.3325,14.0575,12.41,0,1.74%
"Nov 25, 2022",13.3325,13.4775,15.7725,12.7725,0,-1.08%
"Nov 24, 2022",13.4775,14.0425,14.0425,12.9975,0,-4.02%
"Nov 23, 2022",14.0425,13.8425,14.3275,11.875,0,1.44%
"Nov 22, 2022",13.8425,14.7975,16.2725,13.32,0,-6.45%
"Nov 21, 2022",14.7975,14.39,15.5475,13.3625,0,2.83%
"Nov 18, 2022",14.39,14.8775,15.6925,13.86,0,-3.28%
"Nov 17, 2022",14.8775,15.1,16.2625,13.09,0,-1.47%
"Nov 16, 2022",15.1,14.635,15.5325,13.9275,0,3.18%
"Nov 15, 2022",14.635,14.91,15.015,13.8275,0,-1.84%
"Nov 14, 2022",14.91,14.405,15.27,12.555,0,3.51%
"Nov 11, 2022",14.405,15.5675,15.5675,14.2775,0,-7.47%
"Nov 10, 2022",15.5675,15.915,16.2925,15.4925,0,-2.18%
"Nov 09, 2022",15.915,15.585,16.0675,15.0175,0,2.12%
"Nov 07, 2022",15.585,15.655,16.355,15.2775,0,-0.45%
"Nov 04, 2022",15.655,15.9425,16.2075,15.4825,0,-1.80%
"Nov 03, 2022",15.9425,16.6625,16.7325,14.985,0,-4.32%
"Nov 02, 2022",16.6625,16.13,16.855,14.68,0,3.30%
"Nov 01, 2022",16.13,15.8025,16.2025,15.1075,0,2.07%
"Oct 31, 2022",15.8025,15.9225,16.63,15.07,0,-0.75%
"Oct 28, 2022",15.9225,16.5975,17.0375,15.8475,0,-4.07%
"Oct 27, 2022",16.5975,16.88,17.07,14.79,0,-1.67%
"Oct 25, 2022",16.88,17.4225,17.6175,16.49,0,-3.11%
"Oct 24, 2022",17.4225,17.28,17.6725,17.07,0,0.82%
"Oct 21, 2022",17.28,17.2325,17.4275,16.585,0,0.28%
"Oct 20, 2022",17.2325,17.4875,17.7625,15.5675,0,-1.46%
"Oct 19, 2022",17.4875,17.4525,17.555,16.2275,0,0.20%
"Oct 18, 2022",17.4525,18.4175,18.4175,16.575,0,-5.24%
"Oct 17, 2022",18.4175,18.2575,19.0775,18.2575,0,0.88%
"Oct 14, 2022",18.2575,20.29,20.63,18.075,0,-10.02%
"Oct 13, 2022",20.29,20.175,20.9425,18.4025,0,0.57%
"Oct 12, 2022",20.175,20.49,20.885,19.885,0,-1.54%
"Oct 11, 2022",20.49,19.6225,20.8175,19.09,0,4.42%
"Oct 10, 2022",19.6225,18.8125,20.34,18.8125,0,4.31%
"Oct 07, 2022",18.8125,19.315,19.725,18.6875,0,-2.60%
"Oct 06, 2022",19.315,19.57,20.02,18.585,0,-1.30%
"Oct 04, 2022",19.57,21.365,21.365,19.4475,0,-8.40%
"Oct 03, 2022",21.365,19.9675,21.68,19.9675,0,7.00%
"Sep 30, 2022",19.9675,21.3025,21.9875,19.6975,0,-6.27%
"Sep 29, 2022",21.3025,22.095,22.2875,21.065,0,-3.59%
"Sep 28, 2022",22.095,21.5675,22.3625,21.49,0,2.45%
"Sep 27, 2022",21.5675,21.8925,22.2925,20.7875,0,-1.48%
"Sep 26, 2022",21.8925,20.5925,22.8975,18.805,0,6.31%
"Sep 23, 2022",20.5925,18.815,20.8125,17.345,0,9.45%
"Sep 22, 2022",18.815,19.325,20.1375,17.4075,0,-2.64%
"Sep 21, 2022",19.325,18.7975,20.29,18.305,0,2.81%
"Sep 20, 2022",18.7975,19.94,19.94,18.1125,0,-5.73%
"Sep 19, 2022",19.94,19.8225,21.205,16.4725,0,0.59%
"Sep 16, 2022",19.8225,18.3925,20.2425,18.3,0,7.77%
"Sep 15, 2022",18.3925,18.2775,19.215,16.78,0,0.63%
"Sep 14, 2022",18.2775,17.47,18.565,17.26,0,4.62%
"Sep 13, 2022",17.47,17.9375,17.9375,16.8575,0,-2.61%
"Sep 12, 2022",17.9375,17.7175,18.3825,16.3925,0,1.24%
"Sep 09, 2022",17.7175,18.305,18.51,16.545,0,-3.21%
"Sep 08, 2022",18.305,19.3675,19.3675,17.3025,0,-5.49%
"Sep 07, 2022",19.3675,19.525,20.175,18.2775,0,-0.81%
"Sep 06, 2022",19.525,19.6625,20,18.645,0,-0.70%
"Sep 05, 2022",19.6625,19.55,20.29,19.45,0,0.58%
"Sep 02, 2022",19.55,19.8725,20.1425,17.4025,0,-1.62%
"Sep 01, 2022",19.8725,18.7,20.9875,18.105,0,6.27%
"Aug 30, 2022",18.7,19.8225,19.8225,17.2575,0,-5.66%
"Aug 29, 2022",19.8225,18.215,21.205,18.215,0,8.83%
"Aug 26, 2022",18.215,19.57,19.57,15.825,0,-6.92%
"Aug 25, 2022",19.57,18.43,20.215,17.275,0,6.19%
"Aug 24, 2022",18.43,19.05,19.3425,17.9875,0,-3.25%
"Aug 23, 2022",19.05,19.0375,19.59,18.1775,0,0.07%
"Aug 22, 2022",19.0375,18.285,19.295,17.2,0,4.12%
"Aug 19, 2022",18.285,17.35,18.5675,16.875,0,5.39%
"Aug 18, 2022",17.35,17.6775,18.44,16.715,0,-1.85%
"Aug 17, 2022",17.6775,17.685,17.7875,16.5475,0,-0.04%
"Aug 16, 2022",17.685,17.6075,18.355,17.005,0,0.44%
"Aug 12, 2022",17.6075,18.355,18.525,17.41,0,-4.07%
"Aug 11, 2022",18.355,19.5875,19.5875,18.2,0,-6.29%
"Aug 10, 2022",19.5875,19.3025,20.77,18.8575,0,1.48%
"Aug 08, 2022",19.3025,18.915,20.18,17.78,0,2.05%
"Aug 05, 2022",18.915,19.2575,19.39,18.0075,0,-1.78%
"Aug 04, 2022",19.2575,18.45,21.06,17.625,0,4.38%
"Aug 03, 2022",18.45,18.53,19.1725,17.95,0,-0.43%
"Aug 02, 2022",18.53,17.485,18.755,17.485,0,5.98%
"Aug 01, 2022",17.485,16.55,17.625,15.8925,0,5.65%
"Jul 29, 2022",16.55,17.0125,18.645,16.49,0,-2.72%
"Jul 28, 2022",17.0125,18.13,18.13,16.8375,0,-6.16%
"Jul 27, 2022",18.13,18.17,18.635,17.7525,0,-0.22%
"Jul 26, 2022",18.17,17.68,18.2675,17.355,0,2.77%
"Jul 25, 2022",17.68,16.65,17.9075,16.1775,0,6.19%
"Jul 22, 2022",16.65,16.8575,16.9625,16.1625,0,-1.23%
"Jul 21, 2022",16.8575,16.8225,17.2075,15.9725,0,0.21%
"Jul 20, 2022",16.8225,17.2025,17.2725,15.6575,0,-2.21%
"Jul 19, 2022",17.2025,17.16,17.6675,16.3525,0,0.25%
"Jul 18, 2022",17.16,17.5975,18.1825,16.47,0,-2.49%
"Jul 15, 2022",17.5975,18.34,18.34,17.53,0,-4.05%
"Jul 14, 2022",18.34,18.52,18.69,17.75,0,-0.97%
"Jul 13, 2022",18.52,18.5475,18.7625,17.735,0,-0.15%
"Jul 12, 2022",18.5475,18.3675,18.6375,17.3,0,0.98%
"Jul 11, 2022",18.3675,18.395,19.215,16.6475,0,-0.15%
"Jul 08, 2022",18.395,19.2025,19.2025,18.22,0,-4.21%
"Jul 07, 2022",19.2025,20.2675,20.2675,19.0125,0,-5.25%
"Jul 06, 2022",20.2675,20.7875,20.7875,19.8225,0,-2.50%
"Jul 05, 2022",20.7875,20.9725,20.9925,20.235,0,-0.88%
"Jul 04, 2022",20.9725,21.25,22.2475,20.9225,0,-1.31%
"Jul 01, 2022",21.25,21.84,22.43,21.1425,0,-2.70%
"Jun 30, 2022",21.84,21.9,22.2725,21.5375,0,-0.27%
"Jun 29, 2022",21.9,21.45,22.085,21.45,0,2.10%
"Jun 28, 2022",21.45,21.005,21.68,20.5125,0,2.12%
"Jun 27, 2022",21.005,20.55,21.12,19.545,0,2.21%
"Jun 24, 2022",20.55,20.88,21.2725,18.6825,0,-1.58%
"Jun 23, 2022",20.88,21.3,21.71,18.355,0,-1.97%
"Jun 22, 2022",21.3,21.1425,21.785,19.32,0,0.74%
"Jun 21, 2022",21.1425,22.4125,22.4125,20.48,0,-5.67%
"Jun 20, 2022",22.4125,22.7575,23.635,16.0025,0,-1.52%
"Jun 17, 2022",22.7575,22.8675,23.69,18.0225,0,-0.48%
"Jun 16, 2022",22.8675,22.1475,28.13,19.7475,0,3.25%
"Jun 15, 2022",22.1475,21.8875,22.365,20.95,0,1.19%
"Jun 14, 2022",21.8875,22.365,22.635,18.9475,0,-2.14%
"Jun 13, 2022",22.365,19.575,22.8025,19.575,0,14.25%
"Jun 10, 2022",19.575,19.14,19.755,18.255,0,2.27%
"Jun 09, 2022",19.14,19.8375,19.8375,18.155,0,-3.52%
"Jun 08, 2022",19.8375,20.425,20.6875,19.3875,0,-2.88%
"Jun 07, 2022",20.425,20.2025,21.07,19.4325,0,1.10%
"Jun 06, 2022",20.2025,19.975,20.6825,18.65,0,1.14%
"Jun 03, 2022",19.975,20.32,20.32,18.735,0,-1.70%
"Jun 02, 2022",20.32,20.845,20.9975,18.3825,0,-2.52%
"Jun 01, 2022",20.845,20.4775,21.3375,18.23,0,1.79%
"May 31, 2022",20.4775,19.98,20.75,19.68,0,2.49%
"May 30, 2022",19.98,21.48,21.48,19.72,0,-6.98%
"May 27, 2022",21.48,22.7175,22.7175,21.2,0,-5.45%
"May 26, 2022",22.7175,25.2825,25.2825,22.535,0,-10.15%
"May 25, 2022",25.2825,25.635,25.635,24.3625,0,-1.38%
"May 24, 2022",25.635,23.3975,25.99,23.155,0,9.56%
"May 23, 2022",23.3975,23.1,23.975,20.5,0,1.29%
"May 20, 2022",23.1,24.5575,24.5575,22.4425,0,-5.94%
"May 19, 2022",24.5575,22.295,25.1475,22.295,0,10.15%
"May 18, 2022",22.295,22.7425,23.06,21.34,0,-1.97%
"May 17, 2022",22.7425,24.5275,24.84,17.095,0,-7.28%
"May 16, 2022",24.5275,23.485,24.7125,21.275,0,4.44%
"May 13, 2022",23.485,24.265,24.265,20.9675,0,-3.21%
"May 12, 2022",24.265,22.8025,25.315,21.15,0,6.41%
"May 11, 2022",22.8025,22.3025,24.1875,20.4825,0,2.24%
"May 10, 2022",22.3025,22.0325,22.515,21.2175,0,1.23%
"May 09, 2022",22.0325,21.25,22.52,18.96,0,3.68%
"May 06, 2022",21.25,20.2925,21.81,19.3325,0,4.72%
"May 05, 2022",20.2925,21.8775,21.8775,19.615,0,-7.24%
"May 04, 2022",21.8775,20.2825,22.3875,18.4275,0,7.86%
"May 02, 2022",20.2825,19.415,21.0625,19.415,0,4.47%
"Apr 29, 2022",19.415,19.3775,19.6475,18.2075,0,0.19%
"Apr 28, 2022",19.3775,20.605,20.605,19.0225,0,-5.96%
"Apr 27, 2022",20.605,19.1875,21.365,19.1875,0,7.39%
"Apr 26, 2022",19.1875,21.2575,21.2575,19.005,0,-9.74%
"Apr 25, 2022",21.2575,18.3525,21.755,18.3525,0,15.83%
"Apr 22, 2022",18.3525,17.8525,18.76,17.8125,0,2.80%
"Apr 21, 2022",17.8525,18.6725,18.6725,13.35,0,-4.39%
"Apr 20, 2022",18.6725,19.775,20.265,17.835,0,-5.58%
"Apr 19, 2022",19.775,19.335,20.8075,14.6275,0,2.28%
"Apr 18, 2022",19.335,17.785,20.4825,17.785,0,8.72%
"Apr 13, 2022",17.785,18.1575,18.4025,16.1925,0,-2.05%
"Apr 12, 2022",18.1575,18.27,18.6725,15.085,0,-0.62%
"Apr 11, 2022",18.27,17.6875,19.145,16.6425,0,3.29%
"Apr 08, 2022",17.6875,18.9975,20.0875,17.53,0,-6.90%
"Apr 07, 2022",18.9975,19.0225,19.49,17.7175,0,-0.13%
"Apr 06, 2022",19.0225,18.4875,19.2825,16.81,0,2.89%
"Apr 05, 2022",18.4875,17.9075,18.63,16.79,0,3.24%
"Apr 04, 2022",17.9075,18.435,18.825,17.5925,0,-2.86%
"Apr 01, 2022",18.435,20.56,20.855,18.12,0,-10.34%
